City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Salalah,OM,17.0151,54.0924,80.69,83,0,3.44,clear sky
241,Boa Vista,BR,2.8197,-60.6733,87.78,55,40,4.61,scattered clouds
242,Sibolga,ID,1.7427,98.7792,76.26,84,93,2.93,overcast clouds
243,Killybegs,IE,54.6333,-8.45,43.0,68,98,6.67,overcast clouds
244,Pachino,IT,36.7186,15.0907,57.69,81,96,19.35,overcast clouds
245,Sorland,NO,67.667,12.6934,39.78,80,100,17.74,overcast clouds
246,Hirara,JP,24.8,125.2833,72.79,84,100,11.54,overcast clouds
247,Ahipara,NZ,-35.1667,173.1667,63.57,76,100,4.12,overcast clouds
248,Adre,TD,13.4667,22.2,85.78,16,45,3.91,scattered clouds
249,Anadyr,RU,64.75,177.4833,27.1,80,40,15.66,scattered clouds
250,Makrana,IN,27.05,74.7167,80.44,16,3,8.68,clear sky
251,Saint-Joseph,RE,-21.3667,55.6167,76.21,82,24,11.9,light rain
252,Acarau,BR,-2.8856,-40.12,79.16,81,99,10.16,overcast clouds
253,Cockburn Town,TC,21.4612,-71.1419,82.36,65,20,13.8,few clouds
254,Salgueiro,BR,-8.0742,-39.1192,85.98,42,75,9.73,broken clouds
255,Cabo San Lucas,MX,22.8909,-109.9124,85.6,61,0,17.27,clear sky
256,Plettenberg Bay,ZA,-34.0527,23.3716,60.96,86,22,10.25,few clouds
257,Tual,ID,-5.6667,132.75,83.75,74,48,14.41,scattered clouds
258,Bethel,US,41.3712,-73.414,55.02,66,75,9.22,broken clouds
259,Talnakh,RU,69.4865,88.3972,-7.8,98,100,2.95,light snow
260,Raudeberg,NO,61.9875,5.1352,38.86,85,100,33.91,overcast clouds
261,Bengkulu,ID,-3.8004,102.2655,76.62,85,100,2.82,overcast clouds
262,Lugo,ES,43.0,-7.5,45.48,100,16,1.61,few clouds
263,Yelizovo,RU,53.1873,158.3805,26.74,63,0,4.47,clear sky
264,Jesus Carranza,MX,17.4333,-95.0333,74.19,64,100,7.94,overcast clouds
265,Tanout,NE,14.9709,8.8879,89.33,5,6,10.98,clear sky
266,Narsaq,GL,60.9167,-46.05,35.82,59,0,3.11,clear sky
267,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,93,100,4.61,overcast clouds
268,Porto Novo,BJ,6.4965,2.6036,80.42,81,100,6.89,overcast clouds
269,Tura,IN,25.5198,90.2201,69.78,90,0,5.35,clear sky
270,San Patricio,US,28.017,-97.5169,88.16,30,0,21.83,clear sky
271,Port Blair,IN,11.6667,92.75,80.83,77,100,2.73,overcast clouds
272,Nisia Floresta,BR,-6.0911,-35.2086,83.21,83,40,8.77,scattered clouds
273,Kalmunai,LK,7.4167,81.8167,77.85,86,99,6.31,overcast clouds
274,Omsukchan,RU,62.5333,155.8,3.61,93,100,4.81,overcast clouds
275,Wanning,CN,18.8003,110.3967,67.5,89,72,4.41,broken clouds
276,Agadez,NE,19.75,10.25,87.8,6,0,8.08,clear sky
277,Cherskiy,RU,68.75,161.3,-12.55,98,79,1.61,broken clouds
278,San Rafael Del Sur,NI,11.8485,-86.4384,94.17,27,77,16.55,broken clouds
